index, word, count, percent, cum
588,“yes”, 23, 0.02, 73.85
589,“why, 23, 0.02, 73.87
590,strange, 23, 0.02, 73.88
591,steps, 23, 0.02, 73.90
592,smile, 23, 0.02, 73.92
593,seat, 23, 0.02, 73.93
594,received, 23, 0.02, 73.95
595,prisoners, 23, 0.02, 73.97
596,passing, 23, 0.02, 73.98
597,not”, 23, 0.02, 74.00
598,none, 23, 0.02, 74.02
599,minutes, 23, 0.02, 74.04
600,mere, 23, 0.02, 74.05
601,manette”, 23, 0.02, 74.07
602,mail, 23, 0.02, 74.09
603,lying, 23, 0.02, 74.10
604,human, 23, 0.02, 74.12
605,happened, 23, 0.02, 74.14
606,free, 23, 0.02, 74.15
607,else, 23, 0.02, 74.17
608,cry, 23, 0.02, 74.19
609,become, 23, 0.02, 74.20
610,afterwards, 23, 0.02, 74.22
611,“not, 22, 0.02, 74.24
612,tomorrow, 22, 0.02, 74.25
613,thoughts, 22, 0.02, 74.27
614,third, 22, 0.02, 74.29
615,there”, 22, 0.02, 74.30
616,staircase, 22, 0.02, 74.32
617,solomon, 22, 0.02, 74.33
618,shadows, 22, 0.02, 74.35
619,sense, 22, 0.02, 74.37
620,saying, 22, 0.02, 74.38
621,sake, 22, 0.02, 74.40
622,return, 22, 0.02, 74.42
623,pursued, 22, 0.02, 74.43
624,prisoner’s, 22, 0.02, 74.45
625,passenger, 22, 0.02, 74.46
626,papers, 22, 0.02, 74.48
627,nephew, 22, 0.02, 74.50
628,length, 22, 0.02, 74.51
629,guillotine, 22, 0.02, 74.53
630,feel, 22, 0.02, 74.55
631,father”, 22, 0.02, 74.56
632,common, 22, 0.02, 74.58
633,aside, 22, 0.02, 74.59
634,ago, 22, 0.02, 74.61
635,above, 22, 0.02, 74.63
636,“well, 21, 0.02, 74.64
637,“oh, 21, 0.02, 74.66
638,“don’t, 21, 0.02, 74.67
639,“as, 21, 0.02, 74.69
640,worth, 21, 0.02, 74.70
641,worked, 21, 0.02, 74.72
642,walking, 21, 0.02, 74.73
643,therefore, 21, 0.02, 74.75
644,thank, 21, 0.02, 74.77
645,temple, 21, 0.02, 74.78
646,shut, 21, 0.02, 74.80
647,rooms, 21, 0.02, 74.81
648,otherwise, 21, 0.02, 74.83
649,number, 21, 0.02, 74.84
650,natural, 21, 0.02, 74.86
651,living, 21, 0.02, 74.87
652,late, 21, 0.02, 74.89
653,knows, 21, 0.02, 74.90
654,king, 21, 0.02, 74.92
655,jacques”, 21, 0.02, 74.94
656,i’ll, 21, 0.02, 74.95
657,horse, 21, 0.02, 74.97
658,honest, 21, 0.02, 74.98
659,forehead, 21, 0.02, 75.00
660,footsteps, 21, 0.02, 75.01
661,foot, 21, 0.02, 75.03
662,floor, 21, 0.02, 75.04
663,ears, 21, 0.02, 75.06
664,dust, 21, 0.02, 75.07
665,drinking, 21, 0.02, 75.09
666,changed, 21, 0.02, 75.11
667,beside, 21, 0.02, 75.12
668,asleep, 21, 0.02, 75.14
669,appeared, 21, 0.02, 75.15
670,“for, 20, 0.01, 75.17
671,write, 20, 0.01, 75.18
672,wore, 20, 0.01, 75.20
673,witness, 20, 0.01, 75.21
674,touched, 20, 0.01, 75.23
675,thrown, 20, 0.01, 75.24
676,suddenly, 20, 0.01, 75.26
677,straw, 20, 0.01, 75.27
678,stones, 20, 0.01, 75.28
679,sky, 20, 0.01, 75.30
680,several, 20, 0.01, 75.31
681,released, 20, 0.01, 75.33
682,real, 20, 0.01, 75.34
683,pity, 20, 0.01, 75.36
684,on”, 20, 0.01, 75.37
685,now”, 20, 0.01, 75.39
686,money, 20, 0.01, 75.40
687,lord, 20, 0.01, 75.42
688,here”, 20, 0.01, 75.43
689,forth, 20, 0.01, 75.45
690,fancy, 20, 0.01, 75.46
691,fair, 20, 0.01, 75.48
692,except, 20, 0.01, 75.49
693,entered, 20, 0.01, 75.51
694,dress, 20, 0.01, 75.52
695,drawn, 20, 0.01, 75.53
696,distance, 20, 0.01, 75.55
697,die, 20, 0.01, 75.56
698,defarge’s, 20, 0.01, 75.58
699,creature, 20, 0.01, 75.59
700,counter, 20, 0.01, 75.61
701,conversation, 20, 0.01, 75.62
702,breath, 20, 0.01, 75.64
703,body, 20, 0.01, 75.65
704,“we, 19, 0.01, 75.67
705,twenty, 19, 0.01, 75.68
706,tribunal, 19, 0.01, 75.69
707,today, 19, 0.01, 75.71
708,then”, 19, 0.01, 75.72
709,story, 19, 0.01, 75.74
710,slight, 19, 0.01, 75.75
711,sleep, 19, 0.01, 75.76
712,sitting, 19, 0.01, 75.78
713,service, 19, 0.01, 75.79
714,seeing, 19, 0.01, 75.81
